Player,Pos,3P,TRB,BLK
Sean Kilpatrick,SG,1.5,4.0,0.1
Garrett Temple,SG,1.3,2.8,0.4
Wayne Ellington,SG,2.4,2.1,0.1
Joe Harris,SG,1.6,2.8,0.2
Salah Mejri,C,0.0,4.2,0.8
Clint Capela,C,0.0,8.1,1.2
Montrezl Harrell,C,0.0,3.8,0.7
Dwyane Wade,SG,0.8,4.5,0.7
Bismack Biyombo,C,0.0,7.0,1.1
Jamal Murray,SG,1.4,2.6,0.3
Andrew Bogut,C,0.0,8.1,0.9
Justin Holiday,SG,1.2,2.7,0.4
Marreese Speights,C,1.3,4.5,0.5
Evan Fournier,SG,1.9,3.1,0.1
Jonas Valanciunas,C,0.0,9.5,0.8
Nicolas Batum,SG,1.8,6.2,0.4
JaVale McGee,C,0.0,3.2,0.9
C.J. McCollum,SG,2.3,3.6,0.5
Marcin Gortat,C,0.0,10.4,0.7
Willie Cauley-Stein,C,0.0,4.5,0.6
Rodney Hood,SG,1.9,3.4,0.2
Eric Gordon,SG,3.3,2.7,0.5
Marco Belinelli,SG,1.4,2.4,0.1
Nikola Vucevic,C,0.3,10.4,1.0
Joel Embiid,C,1.2,7.8,2.5
Allen Crabbe,SG,1.7,2.9,0.3
Marcus Smart,SG,1.2,3.9,0.4
Andre Drummond,C,0.0,13.8,1.1
Robin Lopez,C,0.0,6.4,1.4
Avery Bradley,SG,2.0,6.1,0.2
Dewayne Dedmon,C,0.0,6.5,0.8
Chris Andersen,C,0.0,2.6,0.6
Jordan Clarkson,SG,1.4,3.0,0.1
A.J. Hammons,C,0.2,1.6,0.6
Patrick Beverley,SG,1.6,5.9,0.4
Josh Richardson,SG,1.4,3.2,0.7
Bradley Beal,SG,2.9,3.1,0.3
Wesley Matthews,SG,2.4,3.5,0.2
Danny Green,SG,1.7,3.3,0.8
Klay Thompson,SG,3.4,3.7,0.5
Kyle Korver,SG,2.4,2.8,0.3
Lou Williams,SG,2.0,2.5,0.2
Frank Kaminsky,C,1.5,4.5,0.5
John Henson,C,0.0,5.1,1.3
Al Horford,C,1.3,6.8,1.3
Ben McLemore,SG,1.1,2.1,0.1
Nene Hilario,C,0.0,4.2,0.6
Jodie Meeks,SG,1.6,2.1,0.1
Brook Lopez,C,1.8,5.4,1.7
Dion Waiters,SG,1.8,3.3,0.4
Austin Rivers,SG,1.5,2.2,0.1
Gary Harris,SG,1.9,3.1,0.1
Zach LaVine,SG,2.6,3.4,0.2
Richaun Holmes,C,0.5,5.5,1.0
Hassan Whiteside,C,0.0,14.1,2.1
Kosta Koufos,C,0.0,5.7,0.7
Mason Plumlee,C,0.0,7.5,1.1
Manu Ginobili,SG,1.3,2.3,0.2
Denzel Valentine,SG,1.3,2.6,0.1
Courtney Lee,SG,1.4,3.4,0.3
Ian Mahinmi,C,0.0,4.8,0.8
Tony Snell,SG,1.8,3.1,0.2
Justin Hamilton,C,0.9,4.1,0.7
Channing Frye,C,1.9,3.9,0.5
Steven Adams,C,0.0,7.7,1.0
Nikola Jokic,C,0.6,9.8,0.8
Jordan Crawford,SG,1.9,1.8,0.1
Alexis Ajinca,C,0.0,4.5,0.6
Anthony Davis,C,0.5,11.8,2.2
Edy Tavares,C,0.0,5.5,3.0
Karl-Anthony Towns,C,1.2,12.3,1.3
Georgios Papagiannis,C,0.0,3.9,0.8
Nik Stauskas,SG,1.7,2.8,0.4
J.R. Smith,SG,2.3,2.8,0.3
Jamal Crawford,SG,1.4,1.6,0.2
Alex Len,C,0.0,6.6,1.3
Timofey Mozgov,C,0.0,4.9,0.6
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Myles Turner,C,0.5,7.3,2.1
Dwight Howard,C,0.0,12.7,1.2
